Part;Value;Device;Package
C1;470n;C-EU050-025X075;C050-025X075
C2;100n;C-EU050-025X075;C050-025X075
C3;100p;C-EU050-025X075;C050-025X075
C4;100p;C-EU050-025X075;C050-025X075
C5;100u;CPOL-USE2.5-6;E2,5-6
C6;4n7;C-EU050-025X075;C050-025X075
C7;100u;CPOL-USE2.5-6;E2,5-6
C8;10u;CPOL-USE2.5-6;E2,5-6
C9;100n;C-EU050-025X075;C050-025X075
C10;100n;C-EU050-025X075;C050-025X075
C11;1u;C-EU050-055X075;C050-055X075
C13;2u2;CPOL-USE2.5-6;E2,5-6
C14;47u;CPOL-USE2.5-6;E2,5-6
C15;100p;C-EU050-025X075;C050-025X075
C16;1u;C-EU050-055X075;C050-055X075
C17;100p;C-EU050-025X075;C050-025X075
C18;10u;CPOL-USE2.5-6;E2,5-6
D1;1N5817;DO41.3;DO41-3
D2;LED.3;LED.3;3MM_2
D3;1N4148;DO35.2;DO35-2
D4;1N4148;DO35.2;DO35-2
D5;1N4148;DO35.2;DO35-2
D6;1N4148;DO35.2;DO35-2
D7;Diff_Red;LED.3;3MM_2
D8;Diff_Red;LED.3;3MM_2
D9;Diff_Red;LED.3;3MM_2
DWELL;B10k;DUALGANG.2;16MM_DUALGANG
IC1;TL074P;TL074P;DIL14
IC2;TL074P;TL074P;DIL14
IC3;;BTDR-3;BTDR-3
IC4;78L05Z;78L05Z;TO92
LDR1;KE10720;LDR1;LDR1
LDR2;KE10720;LDR1;LDR1
M/S;;SPDT.LUGS;SPDT.LUGS
MIX;B50k;DUALGANG.2;16MM_DUALGANG
R1;1M;R-US_0204/5;0204/5
R2;10k;R-US_0204/5;0204/5
R3;100k;R-US_0204/5;0204/5
R4;RLED;R-US_0204/5;0204/5
R5;220k;R-US_0204/5;0204/5
R6;220k;R-US_0204/5;0204/5
R7;15k;R-US_0204/5;0204/5
R8;470R;R-US_0204/5;0204/5
R9;10k;R-US_0204/5;0204/5
R10;100k;R-US_0204/5;0204/5
R11;10k;R-US_0204/5;0204/5
R12;10k;R-US_0204/5;0204/5
R14;10k;R-US_0204/5;0204/5
R15;1k;R-US_0204/7;0204/7
R16;10k;R-US_0204/5;0204/5
R17;100k;R-US_0204/5;0204/5
R18;47k;R-US_0204/5;0204/5
R19;10k;R-US_0204/5;0204/5
R20;22k;R-US_0204/5;0204/5
R21;100k;R-US_0204/5;0204/5
R22;100k;R-US_0204/5;0204/5
R23;22k;R-US_0204/5;0204/5
R24;47k;R-US_0204/5;0204/5
REL;B100k;16MM.1;16MM_B.MOUNT
SC_GAIN;50k;TRIMMER;TRIM1
SENS;B5k;16MM.1;16MM_B.MOUNT
TONE;B10k;16MM.1;16MM_B.MOUNT
U1;TC1044SCPA;TC1044SCPA;DIP254P762X508-8
